Size,Linear Search,Binary Search
680, 606593, 29882
681, 616394, 29484
682, 632397, 29694
683, 570794, 29890
684, 628289, 30195
685, 677979, 30202
686, 653808, 32914
687, 600575, 30612
688, 606282, 31213
689, 585321, 31366
690, 684194, 31441
691, 655211, 31538
692, 688587, 31467
693, 659947, 31884
694, 1.10855e+06, 103434
695, 1.112e+06, 35574
696, 768495, 35199
697, 685495, 35635
698, 739515, 35577
699, 719792, 35254
700, 716757, 30660
701, 607514, 30437
702, 684769, 29870
703, 687912, 29954
704, 639160, 43084
705, 578538, 30350
706, 674013, 30189
707, 670921, 30525
708, 631812, 30238
709, 629733, 30975
710, 668936, 31224
711, 649159, 31556
712, 685938, 31174
713, 642500, 31508
714, 703585, 31439
715, 627223, 31472
716, 774591, 36178
717, 768405, 37782
718, 775859, 37609
719, 780540, 35055
720, 636581, 36546
721, 781336, 35868
722, 774678, 34373
723, 670560, 29879
724, 649046, 32444
725, 622654, 30221
726, 737384, 29699
727, 660670, 30716
728, 674050, 30532
729, 730911, 31178
730, 650721, 31854
731, 625524, 31608
732, 638532, 32036
733, 680003, 31888
734, 728135, 32228
735, 676561, 34812
736, 727581, 31559
737, 631119, 32083
738, 787889, 34962
739, 749292, 37714
740, 680898, 35983
741, 858604, 35974
742, 778143, 36318
743, 718546, 35943
744, 704573, 32707
745, 710790, 33505
746, 649468, 30536
747, 801080, 29940
748, 705619, 30084
749, 630976, 32777
750, 686398, 30776
751, 753791, 30525
752, 644882, 31971
753, 715002, 33723
754, 614917, 31880
755, 726671, 31512
756, 670072, 32572
757, 771147, 32450
758, 755204, 32622
759, 794289, 32697
760, 833190, 34631
761, 786324, 34553
762, 710779, 47574
763, 801230, 35599
764, 816066, 35484
765, 730874, 34887
766, 741849, 34160
767, 757957, 31171
768, 755184, 31255
769, 678861, 31109
770, 721270, 31386
771, 768492, 31736
772, 691937, 31790
773, 737995, 31639
774, 755639, 32664
775, 680560, 32600
776, 711482, 32669
777, 765205, 32774
778, 618530, 33037
779, 730187, 33194
780, 1.58167e+06, 57151
781, 1.03076e+06, 37034
782, 864807, 36397
783, 710663, 36393
784, 796189, 36706
785, 814532, 36953
786, 729523, 32469
787, 751838, 31083
788, 670788, 31315
789, 710362, 37956
790, 644745, 31496
791, 693393, 31543
792, 668519, 32047
793, 677843, 32102
794, 794405, 34397
795, 658039, 32893
796, 698776, 32800
797, 731071, 35243
798, 658792, 32812
799, 772218, 32590
800, 1.01672e+06, 35910
801, 886019, 37676
802, 831048, 36542
803, 799238, 37294
804, 807337, 35435
805, 803085, 36889
806, 724792, 36981
807, 746504, 31400
808, 699818, 31220
809, 730068, 31267
810, 681101, 63640
811, 697148, 31251
812, 761561, 31560
813, 699487, 32788
814, 741810, 33536
815, 732898, 33080
816, 734367, 32619
817, 704715, 32827
818, 740023, 32648
819, 728299, 46700
820, 1.49803e+06, 54804
821, 943723, 36223
822, 799285, 35933
823, 882046, 38925
824, 906198, 36375
825, 758308, 32851
826, 874198, 31347
827, 788930, 47875
828, 728270, 31008
829, 823747, 31355
830, 791647, 30976
831, 802050, 32830
832, 781952, 32781
833, 805326, 32545
834, 734440, 32296
835, 767324, 32863
836, 773610, 32983
837, 815081, 32638
838, 900982, 35374
839, 854128, 38184
840, 780656, 37982
841, 942887, 37801
842, 824393, 37927
843, 814592, 36267
844, 751085, 36390
845, 675329, 32448
846, 725650, 31149
847, 785664, 32148
848, 762350, 32326
849, 677778, 31821
850, 820436, 33601
851, 848379, 33262
852, 783111, 33363
853, 755639, 33548
854, 773282, 35803
855, 790163, 33501
856, 782546, 33590
857, 814482, 33379
858, 948815, 36536
859, 925759, 36716
860, 848152, 37560
861, 823761, 36679
862, 885943, 37146
863, 809153, 36004
864, 819027, 31372
865, 754369, 31375
866, 799257, 31312
867, 804043, 31208
868, 856118, 32276
869, 792455, 34373
870, 851226, 33436
871, 820944, 33400
872, 805018, 33637
873, 767666, 32724
874, 858455, 33376
875, 792867, 33460
876, 894504, 35044
877, 920124, 39132
878, 1.05374e+06, 35005
879, 818124, 37210
880, 813051, 37286
881, 1.08114e+06, 37156
882, 794812, 34496
883, 729776, 31335
884, 831412, 31354
885, 723439, 63095
886, 832968, 31966
887, 791236, 33386
888, 832388, 33461
889, 766060, 32738
890, 806834, 32654
891, 755618, 33056
892, 735609, 32762
893, 787172, 33285
894, 921550, 34282
895, 922836, 37183
896, 1.45224e+06, 36652
897, 839675, 36239
898, 898294, 36565
899, 889870, 36421
900, 914746, 50277
901, 744368, 32023
902, 827580, 31513
